,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
40740,"Roswell, NM Micro Area",,,"Roswell, NM",3540740
40760,"Ruidoso, NM Micro Area",,,,
40780,"Russellville, AR Micro Area",,,"Russellville, AR",0540780
40820,"Ruston, LA Micro Area",,,"Ruston, LA",2240820
40860,"Rutland, VT Micro Area",,,"Rutland, VT",5040860
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area","Sacramento, CA metro area","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0640900
40940,"Safford, AZ Micro Area",,,"Safford, AZ",0440940
40980,"Saginaw, MI Metro Area","Saginaw, MI metro area","Saginaw, MI","Saginaw, MI",2640980
41060,"St. Cloud, MN Metro Area","St. Cloud, MN metro area","St. Cloud, MN","St. Cloud, MN",2741060
41100,"St. George, UT Metro Area",,,"St. George, UT",4941100
41140,"St. Joseph, MO-KS Metro Area","St. Joseph, MO metro area",,"St. Joseph, MO-KS",2041140
41180,"St. Louis, MO-IL Metro Area","St. Louis, MO metro area","St. Louis, MO-IL","St. Louis, MO-IL",1741180
41220,"St. Marys, GA Micro Area",,,"St. Marys, GA",1341220
41260,"St. Marys, PA Micro Area",,,,
41400,"Salem, OH Micro Area",,,"Salem, OH",3941400
41420,"Salem, OR Metro Area","Salem, OR metro area","Salem, OR","Salem, OR",4141420
41460,"Salina, KS Micro Area",,,"Salina, KS",2041460
41500,"Salinas, CA Metro Area","Salinas, CA metro area","Salinas, CA","Salinas, CA",0641500
41540,"Salisbury, MD-DE Metro Area",,"Salisbury, MD-DE","Salisbury, MD-DE",1041540
41620,"Salt Lake City, UT Metro Area","Salt Lake City, UT metro area","Salt Lake City, UT","Salt Lake City, UT",4941620
41660,"San Angelo, TX Metro Area",,,"San Angelo, TX",4841660
41700,"San Antonio-New Braunfels, TX Metro Area","San Antonio, TX metro area","San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",4841700
41740,"San Diego-Carlsbad, CA Metro Area","San Diego, CA metro area","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",0641740
41760,"Sandpoint, ID Micro Area",,,"Sandpoint, ID",1641760
41780,"Sandusky, OH Micro Area",,,"Sandusky, OH",3941780
41820,"Sanford, NC Micro Area",,,"Sanford, NC",3741820
41860,"San Francisco-Oakland-Hayward, CA Metro Area","San Francisco, CA metro area","San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA",0641860
41900,"San Germ�n, PR Metro Area",,,"San Germán, PR",7241900
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose, CA metro area","San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",0641940
41980,"San Juan-Carolina-Caguas, PR Metro Area",,,"San Juan-Carolina-Caguas, PR",7241980
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","San Luis Obispo, CA metro area","San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA",0642020
42100,"Santa Cruz-Watsonville, CA Metro Area","Santa Cruz, CA metro area","Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA",0642100
42140,"Santa Fe, NM Metro Area","Santa Fe, NM metro area",,"Santa Fe, NM",3542140
42180,"Santa Isabel, PR Micro Area",,,"Santa Isabel, PR",7242180
42200,"Santa Maria-Santa Barbara, CA Metro Area","Santa Maria, CA metro area","Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",0642200
42220,"Santa Rosa, CA Metro Area","Santa Rosa, CA metro area","Santa Rosa, CA","Santa Rosa, CA",0642220
42300,"Sault Ste. Marie, MI Micro Area",,,"Sault Ste. Marie, MI",2642300
42340,"Savannah, GA Metro Area","Savannah, GA metro area","Savannah, GA","Savannah, GA",1342340
42380,"Sayre, PA Micro Area",,,"Sayre, PA",4242380
42420,"Scottsbluff, NE Micro Area",,,"Scottsbluff, NE",3142420
42460,"Scottsboro, AL Micro Area",,,"Scottsboro, AL",0142460
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA",4242540
